Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
1250,18811,Thys,Filip,,BEL,M,45,164,03:00:29,03:00:51,,
1251,56031,Liquorish,Ryan,,GBR,M,H,136,03:00:32,03:02:26,,
1252,21611,Haub,Irina,DJK SC FlÃ¶rsheim,RUS,W,40,9,03:00:33,03:01:08,,
1253,24287,Langkilde,Henrik,,DEN,M,55,21,03:00:33,03:01:35,,
1254,27215,Hartl,Dominik,TV Planegg-Krailling,GER,M,H,137,03:00:34,04:16:20,,
1255,18332,Irazusta,Aritz,,ESP,M,40,236,03:00:35,03:01:49,,
1256,56804,Mendes,Alice,,POR,W,45,3,03:00:36,03:01:10,,
1257,53676,Gonzalez Cabot,Julio,AMISTAT-NOVOMARHOTEL,ESP,M,40,237,03:00:38,03:00:55,,
1258,22197,Tesliuk,Vasyl,RUN21,UKR,M,30,300,03:00:39,03:01:11,,
1259,52684,Durrett,Joseph,,USA,M,35,266,03:00:40,03:20:46,,
1260,21807,Jeker,Dominique,Ravens City of London RC,SUI,M,45,165,03:00:45,03:02:11,,
1261,25385,Carrasco,Javier,,ESP,M,50,59,03:00:47,03:01:40,,
1262,56623,Mattiuzzo,Giuseppe,,ITA,M,50,60,03:00:47,03:01:59,,
1263,50793,Bergere,Jonathan Camille Brice,,FRA,M,30,301,03:00:48,03:02:15,,
1264,56305,Maer,Aleksandr,,RUS,M,30,302,03:00:49,03:02:42,,
1265,60194,Szkolka,Robert,Wieliszew HERON Team,POL,M,45,166,03:00:51,03:02:47,,
1266,15258,Svoboda,Jens,,GER,M,50,61,03:00:57,03:01:56,,
1267,17322,Eckstein,Robert,TeilzeitlÃ¤ufer Bielefeld,GER,M,35,267,03:00:59,03:01:42,,
1268,15606,JÃ¶hr,Tobias,Tria Basilea,SUI,M,40,238,03:01:00,03:01:40,,
1269,15148,Gundogdu,Burak Fevzi,Beat Run Crew,TUR,M,30,303,03:01:01,03:02:20,,
1270,18325,FiÃ,Andreas,,GER,M,50,62,03:01:02,03:01:34,,
1271,52143,Dai,Chaoguang,,CHN,M,30,304,03:01:02,03:01:13,,
1272,21944,Chatfield,Daniel,AFD,GBR,M,45,167,03:01:04,03:01:28,,
1273,23428,Wie Flaa,Alexander,,NOR,M,35,268,03:01:05,03:01:52,,
1274,24582,Miranda Ojeda,Felipe,Ancud,CHI,M,H,138,03:01:06,03:03:38,,
1275,24266,Ernst,Benedikt,,GER,M,45,168,03:01:07,03:01:35,,
1276,58854,Romeiro,Iury,,SUI,M,35,269,03:01:10,03:02:43,,
1276,29188,Szinovatz,Franz,HORNSTEIN BEWEGT,AUT,M,35,269,03:01:10,03:01:46,,
1278,16124,Schmid,Marc,Therapiezentrum Fares Day,GER,M,30,305,03:01:13,03:02:31,,
1279,27915,Roth,Karsten,LG Lohr-Rechtenbach,GER,M,50,63,03:01:15,03:01:50,,
1280,18011,Regnier,Philip,,USA,M,55,22,03:01:16,03:01:35,,
1281,23372,KAWAMOTO,Ken-ichi,,JPN,M,50,64,03:01:17,03:03:11,,
1282,60019,StÃ¶ckigt,Detlef,,GER,M,50,65,03:01:18,03:01:44,,
1283,19726,Wolff,Ove,Hyllestad IL,NOR,M,50,66,03:01:19,03:02:26,,
1284,56599,MassuÃ§a,JosÃ©,,POR,M,50,67,03:01:19,03:03:54,,
1285,23400,Hesjedal,Frode,Kristiansand Lopeklubb,NOR,M,50,68,03:01:19,03:02:53,,
1286,24293,Dimascio-Donohue,Jennifer,Dashing Whippets,USA,W,H,20,03:01:21,03:01:44,,
1287,59529,Serceau,Florian,,FRA,M,35,271,03:01:21,03:02:20,,
1288,14574,Walhovd,Kristine Beate,BUL,NOR,W,45,4,03:01:22,03:02:52,,
1289,17238,Jakisch,Jann-Paul,WSU Tri-Team,GER,M,H,139,03:01:23,03:03:27,,
1290,25597,Perez Garcia,Ruben,,ESP,M,35,272,03:01:23,03:01:49,,
1291,23952,Partika,Andrzej,Hospicjum sw Jana,POL,M,40,239,03:01:24,03:03:02,,
1292,50293,Ansara,Nicolas,,USA,M,30,306,03:01:25,03:02:24,,
1293,59950,Starren,Ivo,,NED,M,40,240,03:01:25,03:02:40,,
1294,24396,Casagrande,Carl,,GBR,M,35,273,03:01:28,03:01:52,,
1295,54038,Hammer,Markus,,GER,M,45,169,03:01:31,03:02:40,,
1295,54860,John.M.Osullivan@Ul.Ie,Osullivan,Limerick Triathlon Club,IRL,M,50,69,03:01:31,03:02:28,,
1297,18066,Trzebinski,Ryszard,Team Kopec,POL,M,45,170,03:01:31,03:01:50,,
1298,56795,Melpignano,Andrea,992 RUNNING,ITA,M,45,171,03:01:31,03:01:49,,
1299,22016,GranÃ¥sen,Gabriel,IFK Umea,SWE,M,40,241,03:01:34,03:02:01,,
1300,13045,Brunner,Rudi,Sport Club Meran,ITA,M,45,172,03:01:35,03:02:37,,
1301,18964,Hafner,Florian,ASV Deutschnofen I,ITA,M,45,173,03:01:35,03:02:38,,
1302,23436,SÃ¸rensen,Kasper,,DEN,M,45,174,03:01:38,03:02:40,,
1303,13301,Normoyle,Diarmuid,,IRL,M,45,175,03:01:38,03:02:44,,
1304,15967,Zeuner,Robert,,GER,M,35,274,03:01:42,03:02:17,,
1305,58960,Rudzinski,Jacek,KB HERMES GRYFINO,POL,M,50,70,03:01:43,03:02:24,,
1305,2483,HÃ¼gerich,Andreas,TS Lichtenfels,GER,M,35,275,03:01:43,03:02:51,,
1307,16599,Diringer,Christian,,GER,M,50,71,03:01:44,03:02:40,,
1308,12861,Genz,Michael,Bunter essen,GER,M,30,307,03:01:47,03:03:15,,
1309,56576,Marun,Andres,,ECU,M,40,242,03:01:47,03:02:46,,
1310,13271,Stahlmann,Jan-Timo,,GER,M,H,140,03:01:49,03:02:59,,
1311,57083,Moreno RodrÃ­guez,Jose Carlos,TIGERS RUNNING CLUB,ESP,M,40,243,03:01:49,03:02:47,,
1312,53404,Garcia Olivares,Luis Manuel,,MEX,M,35,276,03:01:49,03:02:58,,
1313,20498,O' Brien,David,Tallaght AC,IRL,M,45,176,03:01:52,03:02:54,,
1314,61352,Wipfler,Claudia,Team Erdinger Alkoholfrei,GER,W,30,22,03:01:53,03:03:34,,
1315,18029,Lehne,Sebastian,,GER,M,35,277,03:01:53,03:02:36,,
1316,22953,Bichard,Laurent,,FRA,M,45,177,03:01:54,03:02:24,,
1317,26476,Kelly,Owen,Blackrock AC,IRL,M,40,244,03:01:55,03:02:39,,
1318,24964,Kacperczyk,Marcin,Serpentine,POL,M,45,178,03:01:55,03:02:39,,
1319,12955,Boskamp,Miklas,,GER,M,H,141,03:01:56,03:04:04,,
1320,15411,Cano,Cyn,,PER,W,30,23,03:01:56,03:02:15,,
1321,22914,Neuens,Jan,ASV Duisburg,GER,M,H,142,03:01:56,03:02:18,,
1322,20899,Wiegmann,Max,,GER,M,40,245,03:01:57,03:22:03,,
1323,13339,Longo,John,Somerville Road Runners,USA,M,30,308,03:01:57,03:02:14,,
1323,55144,Khayretdinov,Eldar,,RUS,M,35,278,03:01:57,03:02:17,,
1325,15065,Witte,Susan,LG Wilhelmshaven,GER,W,40,10,03:01:59,03:03:38,,
1326,12758,Forton,Sofie,,BEL,W,H,21,03:01:59,03:02:59,,
1327,25672,Knight,Robert,,GBR,M,30,309,03:01:59,03:02:14,,
1328,19873,PeÃ±a,Estefania,,VEN,W,30,24,03:02:00,03:03:24,,
1329,58105,Piran,Mattia,Terramia Club,ITA,M,30,310,03:02:00,03:03:31,,
1330,18478,JÃ¸rgensen,Julie Kusk,,DEN,W,H,22,03:02:01,03:03:20,,
1331,56668,Mccarthy,Eugene,,IRL,M,50,72,03:02:01,03:02:38,,
1332,28578,Larvia,Martin,,SWE,M,40,246,03:02:01,03:02:13,,
1333,16367,KÃ¶ppen,David,TC FIKO Rostock,GER,M,35,279,03:02:01,03:03:12,,
1334,59985,Stenberg,Markku,,FIN,M,40,247,03:02:02,03:03:25,,
1335,56342,Maille,Steven,,FRA,M,30,311,03:02:02,03:02:46,,
1336,25351,Gundersen,Kenneth,Undheim IL,NOR,M,45,179,03:02:02,03:02:43,,
1337,15980,Kearney,Martin,,IRL,M,65,1,03:02:02,03:02:53,,
1338,23925,Tadi,Salu Benjamin,PTSV Rosenheim,GER,M,30,312,03:02:02,03:03:34,,
1339,55920,Levaniuk,Hanna,DovydkoRunningClub Region,BLR,W,35,17,03:02:03,03:22:32,,
1340,61724,Watn,Hans,,NOR,M,30,313,03:02:04,03:02:57,,
1341,25851,Conzelmann,Benjamin,,GER,M,35,280,03:02:04,03:03:15,,
1342,50182,Almetwally,Ismail,,EGY,M,30,314,03:02:04,03:02:24,,
1343,12956,Rouas,Michael,Adidas Runners Paris,FRA,M,30,315,03:02:05,03:02:44,,
1344,25581,Meyer,Christopher,Dashing Whippets,USA,M,H,143,03:02:05,03:02:57,,
1345,21189,Liang,Bing,,CHN,M,40,248,03:02:05,03:03:51,,
1346,57294,Natalini,Amy,,USA,W,35,18,03:02:06,03:03:22,,
1347,61691,Johansen,Herleik,,NOR,M,55,23,03:02:07,03:03:44,,
1348,50689,Beckmann,Michael,,NED,M,H,144,03:02:07,03:22:12,,
1349,23136,Naughton,Vincent,,IRL,M,45,180,03:02:09,03:02:37,,
1350,27084,Reeg,BjÃ¶rn,Runners Club Jungingen,GER,M,40,249,03:02:09,03:22:38,,
1351,20422,Strehl,Karsten,RSC Wolnzach,GER,M,30,316,03:02:09,03:02:52,,
1352,55966,Liebold,Christian,,GER,M,35,281,03:02:11,03:02:33,,
1353,55908,Leroy,Julien,,FRA,M,35,282,03:02:12,03:02:42,,
1354,50305,Antvorskov,Bo,,DEN,M,60,5,03:02:15,03:02:48,,
1355,60523,Trushko,Dmitrii,,RUS,M,40,250,03:02:17,03:03:53,,
1356,58104,Piran,Davide,Terramia Club,ITA,M,H,145,03:02:17,03:03:48,,
1357,57295,Natalini,Ryan,,USA,M,40,251,03:02:19,03:03:35,,
1358,14281,Hershey-Beatty,Juliet,,USA,W,45,5,03:02:20,03:03:21,,
1359,52111,Cvetkovski,Toni,Korrunners,MKD,M,50,73,03:02:21,03:04:12,,
1360,29613,Simkus,Mantas,STIKLAINIAI,LTU,M,35,283,03:02:23,03:02:33,,
1360,17847,Klepacki,Karol,SWORDS WARSAW,POL,M,35,283,03:02:23,03:03:03,,
1362,29289,Yu,Nancy,,USA,W,30,25,03:02:26,03:03:23,,
1363,29767,Usenko,Andrii,,UKR,M,35,285,03:02:27,03:03:50,,
1364,24280,Joensen,Dennis Avi,Adriana Petcu,DEN,M,40,252,03:02:29,03:04:19,,
1365,53507,Gerritsen,Willem,Serpentine RC,NED,M,40,253,03:02:29,03:03:05,,
1366,53805,Grobler,Nicholas,,GBR,M,40,254,03:02:30,03:25:41,,
1367,24152,Kongsvik,Stig,Hyllestad IL,NOR,M,35,286,03:02:32,03:03:39,,
1368,59622,Sicolo,Alessandro,Cus Parma,ITA,M,45,181,03:02:33,03:03:45,,
1369,22219,DÃ­az GutiÃ©rrez,Juan Carlos,Modas Ruvi,ESP,M,45,182,03:02:33,03:04:03,,
1370,29563,Merkel,Alexander,,GER,M,35,287,03:02:34,03:04:07,,
1371,29429,Pfefferlen,Martin,,GER,M,35,288,03:02:36,03:03:37,,
1372,19029,PeÃ±a,Valentina,4 Elementos,VEN,W,35,19,03:02:36,03:04:00,,
1373,22277,Taylor,Michael,,GBR,M,45,183,03:02:36,03:03:48,,
1374,60163,Sweeney,Barry,,IRL,M,35,289,03:02:38,03:22:43,,
1375,60069,Strum,Meaghan,Halifax Road Hammers,CAN,W,30,26,03:02:38,03:03:28,,
1376,13540,Petersen,Jesper,RunningXpert,DEN,M,35,290,03:02:40,03:03:09,,
1377,17349,Olesen,Morten Wium,NBRO Running,DEN,M,35,291,03:02:44,03:02:57,,
1378,58485,Raygoza Lizarraga,Jesus Esteban,,MEX,M,50,74,03:02:44,03:25:36,,
1379,18038,Ellger,Leon,,GER,M,H,146,03:02:46,03:25:32,,
1380,4762,Jensen,Jens Betzer,,DEN,M,45,184,03:02:46,03:02:58,,
1381,28106,Waller,Frederik,,GER,M,H,147,03:02:47,03:04:05,,
1382,3922,Dukowsky,Markus,Team Erdinger Alkoholfrei,GER,M,55,24,03:02:48,03:03:40,,
1383,4942,Taylor,George,London Frontrunners,GBR,M,55,25,03:02:50,03:02:57,,
1384,50864,Bettache,Abel,,FRA,M,55,26,03:02:50,03:03:22,,
1385,60870,Vergara,Emanuel Eduardo,A4ELKM,ARG,M,30,317,03:02:52,03:03:25,,
1386,27467,NÃ¼rnberger,Robert,DAV NÃ¼rnberg,GER,M,40,255,03:02:54,03:03:56,,
1387,16183,Boleve,Alexandre,Aix Savoie Triathlon,FRA,M,35,292,03:02:54,03:03:14,,
1388,12613,Hirtz,Marian,,GER,M,35,293,03:02:55,03:04:30,,
1389,15496,Berlin,Annika,,GER,W,30,27,03:02:55,03:04:54,,
1390,21930,Ravanetti,Luigi,CUS Parma,ITA,M,50,75,03:02:55,03:03:45,,
1391,21123,Rached Jorge,Roberto,,BRA,M,40,256,03:02:56,03:03:51,,
1392,18172,Shreeve,Andrew,Westmere Whippets,GBR,M,45,185,03:02:56,03:04:00,,
1393,15577,Trondsen,Tom Berger,Spurtastic,NOR,M,40,257,03:02:57,03:04:31,,
1394,61225,Wetzel,Christie,DC Road Runners,USA,W,30,28,03:02:59,03:03:51,,
1395,50713,Bejgier,Edmund,,POL,M,50,76,03:03:00,03:03:54,,
1396,60153,SvÃ¤rd,Mattias,Jakan,SWE,M,30,318,03:03:01,03:04:38,,
1397,25706,Mann,Shaun,City of Norwich AC,GBR,M,45,186,03:03:01,03:03:23,,
1398,58212,Popovic,Miloslav,Fenix3Club,SVK,M,45,187,03:03:01,03:03:54,,
1399,18355,Lopes,Emmanuel,,FRA,M,40,258,03:03:03,03:05:14,,
1400,17616,Reeves,Philip,Wimbledon Windmilers,GBR,M,45,188,03:03:07,03:04:00,,
1401,51444,CalderÃ³n,Bayron,Bayron Calderon,PER,M,H,148,03:03:08,03:04:44,,
1402,61450,Xu,Zhixi,,CHN,M,H,149,03:03:08,03:03:56,,
1403,54201,Heinrich,Kjell,NTNUI,GER,M,H,150,03:03:08,03:04:15,,
1404,53000,Fennell,Aaron,,IRL,M,H,151,03:03:09,03:05:23,,
1405,17255,Espenhahn,Jano,Potsdamer Laufclub,GER,M,30,319,03:03:12,03:04:57,,
1406,24020,Solberg,Heine,Team Batti,NOR,M,40,259,03:03:14,03:23:19,,
1407,58926,ROUBY,Antoine,,FRA,M,35,294,03:03:15,03:04:31,,
1408,16452,Lobach,Raphael,,GER,M,40,260,03:03:17,03:04:33,,
1409,18882,DULSKYI,Oleksandr,,UKR,M,30,320,03:03:18,03:23:20,,
1410,16782,lietzmann,steffen,,GER,M,50,77,03:03:21,03:26:02,,
1411,29010,Zarruk Valencia,David,,COL,M,30,321,03:03:23,03:53:35,,
1411,59708,Sisins,Niklas,,SWE,M,50,78,03:03:23,03:04:07,,
1413,12965,Skovgaard,Martin,,DEN,M,35,295,03:03:25,03:03:38,,
1414,18948,Franco Flores,Felipe,,MEX,M,30,322,03:03:26,03:04:47,,
1415,53101,Fladhammer,James,,NOR,M,40,261,03:03:27,03:04:48,,
1416,51582,Cascante Calderon,Roberto,,CRC,M,35,296,03:03:29,03:23:30,,
1417,12079,Hilger,Stefan,TriFun Hennesee,GER,M,50,79,03:03:29,03:03:59,,
1418,24762,Temming,Winfried,TSG Hatten-Sandkrug,GER,M,55,27,03:03:29,03:05:38,,
1419,14562,Schultz,Christoph,,GER,M,35,297,03:03:30,03:04:48,,
1420,12588,Kolloge,Lukas,Team Erdinger Alkoholfrei,GER,M,H,152,03:03:32,03:04:44,,
1421,59625,Siebenaller,Julius,,GER,M,H,153,03:03:33,03:54:31,,
1422,59370,Scholz,Torsten,Der vom Berg LeiÃling,GER,M,45,189,03:03:34,03:05:18,,
1423,60007,Stevens,Dustin,,RSA,M,30,323,03:03:35,03:04:33,,
1424,58875,Rooney,Laura,Watergrasshill AC,IRL,W,40,11,03:03:38,03:05:28,,
1425,16343,Rattay,Marcel,,GER,M,H,154,03:03:39,03:24:10,,
1426,27868,Hailing,Markus,ULC-Riverside MÃ¶dling,AUT,M,45,190,03:03:40,03:04:41,,
1427,19601,Watanabe,Soichi,,JPN,M,40,262,03:03:40,03:04:38,,
1428,60754,Van Spilbeeck,Nicolas,,BEL,M,30,324,03:03:40,03:05:45,,
1429,57234,Murphy,James,Tara AC,IRL,M,45,191,03:03:41,03:04:11,,
1430,29098,Gursoy,Sinan,Beat Run Crew,TUR,M,40,263,03:03:42,03:05:00,,
1431,25176,Stanger,Christof,,GER,M,50,80,03:03:44,03:23:49,,
1432,54175,Heckelmann,Johannes,,GER,M,H,155,03:03:44,03:05:53,,
1433,58344,Quemener,FrÃ©dÃ©ric,,FRA,M,30,325,03:03:45,03:04:11,,
1434,12258,Hogsnes,Henrik,,NOR,M,45,192,03:03:45,03:04:08,,
1435,50461,Bacry,Charley,AO CHARENTON,FRA,M,35,298,03:03:48,03:04:22,,
1436,13746,Jiang,Sunny,Burn,USA,W,50,5,03:03:49,03:04:32,,
1437,20572,Siciliano,Seth,,USA,M,40,264,03:03:51,03:04:09,,
1438,12270,Schumacher,Kilian,,GER,M,40,265,03:03:51,03:04:43,,
1439,57070,Moreira,JosÃ©,Breathe Runners,POR,M,30,326,03:03:52,04:18:53,,
1440,25094,Campbell,Rory,,RSA,M,40,266,03:03:55,03:05:08,,
1441,55765,Lawenda,Rafal,,POL,M,35,299,03:03:58,03:04:14,,
1442,60079,Stumpf,Brad,,USA,M,30,327,03:04:00,03:04:50,,
1443,19118,Debast,Bart,,BEL,M,50,81,03:04:00,03:05:53,,
1444,21726,Rycroft,Richard,,GBR,M,50,82,03:04:00,03:06:02,,
1445,16192,Pakarinen,Ari,,FIN,M,55,28,03:04:00,03:05:08,,
1446,23477,Winther,Jesper,,DEN,M,45,193,03:04:01,03:05:07,,
1447,18321,Oosterhof,Hendrike,The Hague Road Runners,NED,W,35,20,03:04:01,03:05:34,,
1448,12692,Wensauer,Ludwig,SpVgg Stadtamhof,GER,M,35,300,03:04:02,03:05:19,,
1449,29318,Cooke,Chris,,GBR,M,35,301,03:04:02,03:24:25,,
1450,55700,Lapedriza,Alberto,London City AC,ESP,M,30,328,03:04:04,03:04:39,,
1451,21021,Toledo Castro,Pedro,Tigers Running Club,ESP,M,40,267,03:04:05,03:05:04,,
1452,57619,OLIVIER,Yann,,FRA,M,40,268,03:04:06,03:05:31,,
1453,23043,Ruszniak,Piotr,,POL,M,45,194,03:04:07,03:05:40,,
1454,13744,Gaucin,Gustavo,Blast,MEX,M,30,329,03:04:07,03:05:22,,
1455,28906,Zapata,Bridget,Impala Racing Team,USA,W,30,29,03:04:07,03:04:27,,
1456,25080,Stille,Sebastian,,GER,M,35,302,03:04:08,03:05:13,,
1457,25423,Neumann,Michael,,GER,M,40,269,03:04:08,03:04:57,,
1458,52932,Fair,Thomas,,GBR,M,35,303,03:04:08,03:05:08,,
1459,51881,Cobben,Ralph,,NED,M,40,270,03:04:09,03:06:10,,
1460,57080,Moreno Cantano,Ruben,Bikila Canarias,ESP,M,35,304,03:04:09,03:04:14,,
1461,20603,Marijn,Charlotte,Altis Masters,NED,W,40,12,03:04:10,03:05:24,,
1462,19355,Stevens,Morena,TUI,NED,W,H,23,03:04:10,03:24:57,,
1463,15667,Quimbayo Duarte,Carlos Julio,,COL,M,35,305,03:04:10,03:30:41,,
1464,21996,Muo',Roberto,,ITA,M,45,195,03:04:12,03:05:43,,
1464,15324,Skogestad,Anders Haugen,Norconsult BIL,NOR,M,H,156,03:04:12,03:25:25,,
1466,17534,Uruchima,Victor,,USA,M,50,83,03:04:14,04:20:06,,
1467,61486,Yermolenko,Yevhenii,,UKR,M,30,330,03:04:15,03:24:37,,
1468,56118,LÃ³pez Garcia,Alberto,,ESP,M,35,306,03:04:15,03:05:12,,
1469,15968,JÃ¤ger,,Spiridon Frankfurt,GER,M,55,29,03:04:16,03:05:09,,
1470,50976,Bloemberg,Martijn,,NED,M,H,157,03:04:16,03:05:41,,
1471,61205,Wensink,Vincent,,NED,M,45,196,03:04:16,03:04:51,,
1472,54372,Hipol,Emil Lorenzo,,PHI,M,30,331,03:04:17,03:24:21,,
1473,55792,Le Moing,StÃ©phane,,FRA,M,45,197,03:04:18,03:04:40,,
1474,58904,Rosengren,Mikael,Rosengren,SWE,M,40,271,03:04:18,03:24:23,,
1475,24477,Lawton,Denis,,IRL,M,30,332,03:04:19,03:05:30,,
1476,52978,Fazolov,Timur,TakoiVotSport,EST,M,30,333,03:04:20,03:04:46,,
1477,12785,WÃ¶lken,Thies,BerlinBagels,GER,M,30,334,03:04:21,03:06:21,,
1478,54981,Kallidis,Georg,SCC Berlin,GER,M,55,30,03:04:21,03:05:15,,
1479,56871,Miatka,Illia,Nike Run Club,UKR,M,30,335,03:04:22,03:05:13,,
1480,50277,ANDRIVET,STEPHANE,CGFI,FRA,M,45,198,03:04:23,03:06:27,,
1481,14860,Lam,Bryan,,USA,M,40,272,03:04:24,03:05:23,,
1482,16816,Costello,Anna,,USA,W,H,24,03:04:24,03:05:35,,
1483,15113,verkaik,edwin,,NED,M,50,84,03:04:25,03:05:02,,
1484,23507,Grams,Yannick,,GER,M,30,336,03:04:25,03:04:44,,
1485,27364,Cordary,Patrick,AS CREDIT MUTUEL,FRA,M,45,199,03:04:26,03:04:47,,
1486,26306,Prots,Andriy,,GER,M,H,158,03:04:29,03:25:39,,
1487,20762,Cangelosi,Massimiliano,ASDMurialdo,ITA,M,50,85,03:04:32,03:05:48,,
1488,56737,Medellin De La Piedra,Fernando,,MEX,M,50,86,03:04:33,03:05:15,,
1489,26130,Marquardt,Doris,LAV Bonn Bad Godesberg,GER,W,35,21,03:04:34,03:05:09,,
1490,58835,Rojas Quesada,Marvin,,CRC,M,30,337,03:04:34,03:24:36,,
1491,15688,Winkelmann,Markus,BSG Spk Paderborn-Detmold,GER,M,35,307,03:04:34,03:06:44,,
1492,24812,Schneidewind,Jimmy,,USA,M,35,308,03:04:36,03:07:22,,
1493,14257,Argos,Javier,,ESP,M,35,309,03:04:37,03:06:24,,
1494,22372,Dealey,Mark,,GBR,M,30,338,03:04:38,03:05:54,,
1495,57890,Pawlowski,Tadeusz,,POL,M,60,6,03:04:38,03:05:31,,
1496,28433,KÃ¶nig,Alexander,,GER,M,30,339,03:04:39,03:05:56,,
1497,55408,Kovacs,Attila,,HUN,M,50,87,03:04:39,03:04:57,,
1498,28998,De Vaucleroy,Leopold,,BEL,M,H,159,03:04:42,03:25:23,,
1499,20013,Mccutcheon,Tony,Cambuslang Harriers,GBR,M,50,88,03:04:42,03:05:07,,
1500,56435,Manzano Flores,Roberto,,ESP,M,45,200,03:04:43,03:07:05,,
1501,57534,Nyhus,Rolf,,NOR,M,30,340,03:04:43,03:06:37,,
1502,13052,Chapruet,Christopher,,USA,M,H,160,03:04:46,03:05:05,,
1503,24057,Vlasenko,Konstantin,Dusty dumbbells,RUS,M,40,273,03:04:46,03:05:56,,
1504,26734,Engel,Dirk,LT Schweich,GER,M,50,89,03:04:48,03:05:56,,
1505,55509,Kryvonis,Maksym,USC,UKR,M,35,310,03:04:50,03:24:55,,
1506,57787,Papdo,Mathieu,SCC Berlin,GER,M,35,311,03:04:50,03:06:18,,
1507,54323,Hestmann,Kristian,Vestergyllen Athletics,NOR,M,40,274,03:04:51,03:06:32,,
1508,52052,Creanza,Tommaso,,ITA,M,40,275,03:04:51,03:07:07,,
1509,26180,Davidila,Johanna,Lapin Lukko,FIN,W,45,6,03:04:52,03:05:11,,
1510,25306,Schuster,Tobias,Heppenheimer Skiclub,GER,M,50,90,03:04:52,03:05:57,,
1511,24073,GÃ³mez Sainz de la Maza,AgustÃ­n,,ESP,M,35,312,03:04:53,03:25:49,,
1512,54500,HÃ¸st,HÃ¥kon,Lyn Ski,NOR,M,65,2,03:04:54,03:06:02,,
1513,17433,Linnekugel,Matthias,Berliner SV 92,GER,M,50,91,03:04:55,03:05:55,,
1514,50662,Beamesderfer,Timothy,,USA,M,55,31,03:04:55,03:05:24,,
1515,29147,Purvys,Virginijus,,LTU,M,40,276,03:04:55,03:05:25,,
1516,26961,James,Ian,,GBR,M,60,7,03:04:57,03:05:45,,
1517,25187,Ostermeier,Wolfgang,SSV Biburg,GER,M,35,313,03:04:57,03:05:51,,
1518,22440,Mazur,Andrzej,KKS SFORA Bojano,POL,M,45,201,03:04:57,03:05:53,,
1519,28202,Heinemann,Hannes,SANWALD Laufteam,GER,M,30,341,03:04:58,03:05:46,,
1520,54173,Heck,Matthias,adidas Runners Berlin,GER,M,30,342,03:05:00,03:06:51,,
1521,56257,Mabe,Christopher,,USA,M,55,32,03:05:01,03:25:11,,
1522,22085,Smith,Chris,ADIDAS RUNNERS HERZO,GBR,M,30,343,03:05:02,03:05:25,,
1523,56900,Mikolajczyk,Miroslaw,Miraz Race Team,POL,M,40,277,03:05:03,03:06:06,,
1524,16783,Hodnefjell,John,MIL Sykkel,NOR,M,50,92,03:05:05,03:06:50,,
1525,22131,Kavlie,Rune,,NOR,M,55,33,03:05:05,03:06:16,,
1525,26620,Streese,Lukas,Old Boys Basel,GER,M,30,344,03:05:05,03:05:18,,
1527,14372,Behlke,Jonas,Leistungsdiagnostikde,GER,M,H,161,03:05:06,03:07:13,,
1528,12680,Weldon,Kevin,,USA,M,H,162,03:05:10,03:26:04,,
1529,59145,Sanroman Marcote,JesÃºs Maria,,ESP,M,45,202,03:05:10,03:55:14,,
1530,58745,Roche,Jorge,SUNKAA RUNNING,ESP,M,30,345,03:05:11,03:06:55,,
1531,16274,Herczynski,Olaf,,GER,M,30,346,03:05:14,03:25:18,,
1532,27652,Togle,Joel,,AUT,M,50,93,03:05:16,03:07:18,,
1533,21962,Guarnieri,Umberto,CUS PARMA,ITA,M,40,278,03:05:16,03:06:05,,
1534,18020,Neher,Michael,,GER,M,40,279,03:05:17,03:05:34,,
1535,58658,Rieger,Zach,,USA,M,35,314,03:05:18,03:06:56,,
1536,19166,Koeken,Joost,,NED,M,H,163,03:05:18,03:25:50,,
1537,12907,Dr. Pochmann,Felix,,GER,M,50,94,03:05:19,03:07:09,,
1538,54919,Judge,Michael,,IRL,M,35,315,03:05:20,03:07:08,,
1539,57068,Morawa,Mateusz,Lacho Team,POL,M,40,280,03:05:21,03:06:13,,
1540,14161,Hoever,Carsten,Team WickedBonkproof,GER,M,40,281,03:05:22,03:07:32,,
1541,12668,Oberberger,Andi,Bayronman eV,GER,M,45,203,03:05:22,03:05:48,,
1542,17688,Williams,Alun,Porthcawl Runners,GBR,M,40,282,03:05:24,03:06:45,,
1543,56687,Mcglynn,Conor,,IRL,M,35,316,03:05:24,03:05:45,,
1544,25705,Kratschmer,Michael,,GER,M,35,317,03:05:25,03:06:04,,
1545,15366,SÃ¶rdal,Eirik,,ISL,M,40,283,03:05:26,03:06:18,,
1546,58657,Rieger,Jessica,,USA,W,35,22,03:05:27,03:07:05,,
1547,16388,Schlegel,Hendrik,Munich Road Runners Club,GER,M,30,347,03:05:27,03:06:23,,
1548,13985,Bravin,Massimiliano,,ITA,M,45,204,03:05:28,03:06:46,,
1549,12760,Stutz,Achim,SV Hohenwettersbach,GER,M,50,95,03:05:29,03:07:06,,
1550,59777,Smy,Ashley,,GBR,M,40,284,03:05:30,03:06:31,,
1551,58295,Prokopchuk,Oleksii,Lauftrainingcom,UKR,M,30,348,03:05:33,03:06:30,,
1552,22585,FernÃ¡ndez,Juan,,DOM,M,35,318,03:05:34,03:07:00,,
1553,24864,Vermandel,Walter,,BEL,M,50,96,03:05:34,03:06:32,,
